MapName,AreaId,AreaName,NorthWestX,NorthWestY,NorthWestZ,SouthEastX,SouthEastY,SouthEastZ,Connections,HidingSpots,EarliestOccupyTimeFirstTeam,EarliestOccupyTimeSecondTeam
de_ancient,152,Outside,260.6,642.8,-19.416094,280.6,627.8,18.666107,10,0,8.199903,15.538094
de_ancient,2559,MainHall,155.6,512.8,75.847092,160.6,502.8,72.037033,3,0,12.804793,13.120758
de_ancient,2748,Ruins,725.6,732.8,-29.636036,730.6,722.8,-15.349043,3,1,7.245784,19.397285
de_ancient,2835,Middle,540.6,477.8,65.784042,565.6,457.8,68.031197,2,1,13.451628,8.742879
de_ancient,2927,SideHall,315.6,507.8,103.918999,340.6,492.8,104.806747,2,0,15.876244,11.825044
de_ancient,12,Middle,440.6,607.8,34.773094,490.6,567.8,32.275368,8,1,10.077904,10.51369
de_ancient,1715,CTSpawn,490.6,232.8,70.03125,495.6,227.8,70.03125,3,0,20.114544,2.313978
de_ancient,2657,BombsiteB,755.6,397.8,130.03125,760.6,387.8,129.03125,4,0,16.810755,9.832314
de_ancient,2985,BombsiteA,235.6,242.8,52.03125,240.6,237.8,52.03125,2,1,19.114906,7.20145
de_ancient,2549,SideEntrance,655.6,392.8,153.017548,660.6,382.8,152.825089,3,0,18.927332,11.02255
de_ancient,2595,Ruins,780.6,692.8,1.410543,785.6,682.8,1.03125,5,0,9.236688,17.605078
de_ancient,2738,TSpawn,470.6,767.8,-170.6064,485.6,762.8,-171.437424,3,0,3.151296,18.380865
de_ancient,2813,Ramp,830.6,522.8,44.269012,835.6,512.8,60.534748,4,0,13.436005,13.237207
de_ancient,1073,Outside,235.6,672.8,-35.903038,240.6,667.8,-19.96875,4,0,8.074216,16.246492
de_ancient,1146,Outside,295.6,747.8,-35.255764,305.6,742.8,-19.96875,5,0,6.040043,16.301981
de_ancient,2959,BombsiteA,160.6,292.8,54.707409,170.6,262.8,53.343437,4,1,17.120758,8.905485
de_ancient,8,Ruins,785.6,687.8,1.03125,830.6,642.8,4.857721,13,0,9.738738,16.904331
de_ancient,990,Outside,180.6,632.8,-19.96875,190.6,627.8,-31.255514,3,0,9.629382,16.866566
de_ancient,1103,Outside,260.6,707.8,-35.167839,265.6,702.8,-19.96875,4,0,7.20833,16.14423
de_ancient,2493,BombsiteA,160.6,337.8,74.03125,170.6,312.8,52.03125,4,0,16.128756,9.259366
de_ancient,71,Water,685.6,852.8,-170.392044,715.6,827.8,-174.901001,6,0,6.210436,22.033979
de_ancient,140,TSideUpper,600.6,612.8,153.44342,615.6,592.8,153.03125,2,1,15.241349,15.745768
de_ancient,293,MainHall,225.6,462.8,72.03125,245.6,452.8,73.76329,4,0,12.227836,12.799588
de_ancient,2671,TSideLower,715.6,572.8,91.271149,720.6,562.8,91.838043,5,0,13.05222,17.65859
de_ancient,2546,TSideUpper,540.6,597.8,164.03125,545.6,587.8,164.03125,5,0,17.11743,17.621847
de_ancient,2587,TSpawn,540.6,812.8,-175.255753,545.6,797.8,-171.281113,4,0,2.262603,20.005924
de_ancient,2647,Alley,605.6,317.8,81.006569,610.6,307.8,89.863647,2,1,19.667263,4.571333
de_ancient,2918,BombsiteB,725.6,462.8,125.140633,735.6,457.8,131.03125,3,0,16.64045,11.064333
de_ancient,2525,Alley,740.6,282.8,120.789703,760.6,272.8,108.911293,3,0,19.756672,7.785126
de_ancient,2576,Outside,425.6,782.8,-100.213173,430.6,767.8,-114.645905,5,0,3.167229,17.424366
de_ancient,2582,TSpawn,450.6,757.8,-140.630844,455.6,747.8,-150.093796,3,0,3.431069,17.741453
de_ancient,2668,Ramp,825.6,492.8,89.650787,830.6,482.8,101.400818,3,0,14.08619,12.603795
de_ancient,421,TSideLower,725.6,607.8,89.872353,735.6,587.8,75.80246,6,0,12.63168,17.267023
de_ancient,2625,House,445.6,372.8,180.275223,450.6,362.8,172.03125,2,1,15.724061,6.17054
de_ancient,2567,Outside,205.6,642.8,-32.285618,210.6,632.8,-27.814888,2,1,8.963005,16.837059
de_ancient,65,SideHall,270.6,457.8,103.691414,290.6,432.8,103.03125,6,1,17.030674,10.545811
de_ancient,440,TSideUpper,595.6,602.8,153.03125,600.6,592.8,153.03125,2,1,15.474275,15.978693
de_ancient,2500,House,465.6,347.8,160.03125,475.6,327.8,160.03125,3,1,15.693974,5.595836
de_ancient,2844,MainHall,160.6,527.8,75.234695,185.6,512.8,75.040764,2,1,12.839961,13.315401
de_ancient,534,TSpawn,490.6,837.8,-146.96875,505.6,817.8,-175.275665,5,0,1.760222,19.472006
de_ancient,1878,House,475.6,297.8,135.762863,480.6,292.8,107.779678,4,0,16.560165,4.188789
de_ancient,1897,House,485.6,312.8,160.631256,490.6,307.8,134.539154,3,0,16.223566,4.422122
de_ancient,2589,TSpawn,540.6,797.8,-174.89212,545.6,787.8,-170.131943,4,0,2.449981,20.101419
de_ancient,2278,TSideUpper,705.6,587.8,104.647057,710.6,577.8,104.722687,2,1,13.205309,17.248335
de_ancient,2509,Outside,210.6,592.8,12.494181,230.6,582.8,62.494198,6,0,9.707754,15.610705
de_ancient,307,Outside,305.6,742.8,-19.96875,325.6,732.8,-23.255753,8,0,5.90163,15.923887
de_ancient,355,BombsiteA,360.6,242.8,53.292564,370.6,232.8,58.43177,5,0,20.43742,4.589997
de_ancient,3032,BackHall,300.6,207.8,97.255249,330.6,172.8,97.255249,8,0,20.738102,5.002534
de_ancient,787,SideEntrance,620.6,517.8,168.263336,625.6,512.8,179.177933,3,0,16.717093,13.875815
de_ancient,2571,Outside,280.6,647.8,-7.281737,285.6,637.8,9.527645,5,0,8.073324,15.234335
de_ancient,2613,BombsiteA,330.6,337.8,72.03125,335.6,327.8,72.03125,2,1,18.689384,7.909578
de_ancient,2618,BombsiteA,370.6,232.8,58.43177,375.6,222.8,68.03125,5,0,20.804842,4.29648
de_ancient,2640,Middle,525.6,527.8,38.83971,530.6,517.8,47.714302,3,0,12.127147,9.256405
de_ancient,2656,BombsiteB,720.6,362.8,118.857414,725.6,352.8,123.656105,3,0,17.924551,8.809655
de_ancient,2803,Outside,680.6,582.8,186.03125,690.6,577.8,186.03125,3,0,14.979707,17.053635
de_ancient,2785,Outside,790.6,242.8,101.199944,800.6,237.8,100.230148,2,1,20.481085,8.649872
de_ancient,887,BombsiteA,170.6,337.8,74.03125,200.6,327.8,52.03125,3,0,15.89025,9.137174
de_ancient,1140,Outside,325.6,752.8,-30.488777,330.6,747.8,-19.96875,4,0,5.423343,15.882799
