mapName,areaId,areaName,northWestX,northWestY,northWestZ,southEastX,southEastY,southEastZ
de_train,3812,,1450.000000,-1050.000000,-314.893250,1575.000000,-950.000000,-319.968750
de_train,1061,Tunnel2,1025.000000,-225.000000,-215.968750,1075.000000,-200.000000,-223.968750
de_train,1745,TStairs,-1000.000000,900.000000,-113.740044,-950.000000,1025.000000,-176.240036
de_train,1896,BombsiteA,925.000000,-200.000000,-221.968750,975.000000,-175.000000,-215.968750
de_train,2652,TMain,-825.000000,550.000000,-215.968750,-800.000000,575.000000,-215.968750
de_train,3547,Ivy,1300.000000,1425.000000,-223.968750,1450.000000,1575.000000,-227.968750
de_train,672,Kitchen,-650.000000,925.000000,32.031250,-625.000000,950.000000,32.031250
de_train,678,Kitchen,-675.000000,825.000000,32.031250,-650.000000,850.000000,32.031250
de_train,2162,BombsiteB,-425.000000,-1425.000000,-351.968750,-225.000000,-1325.000000,-351.968750
de_train,3057,,1225.000000,-1250.000000,-334.240112,1250.000000,-1225.000000,-351.968750
de_train,2970,BombsiteB,475.000000,-1450.000000,-351.968750,500.000000,-1400.000000,-351.257477
de_train,3132,CTSpawn,1650.000000,-1500.000000,-319.968750,1750.000000,-950.000000,-319.399017
de_train,4131,BombsiteA,-50.000000,-100.000000,-215.968750,-25.000000,0.000000,-215.968750
de_train,185,Kitchen,-875.000000,850.000000,32.031250,-800.000000,925.000000,32.031250
de_train,1622,CTSpawn,1625.000000,-1625.000000,-318.748718,1700.000000,-1600.000000,-319.968750
de_train,1734,BombsiteA,750.000000,-300.000000,-215.968750,875.000000,-225.000000,-215.968750
de_train,1759,Tunnel,-1000.000000,375.000000,16.031250,-950.000000,475.000000,16.031250
de_train,2260,LadderTop,-750.000000,-300.000000,16.031250,-600.000000,-175.000000,16.031250
de_train,3537,BombsiteB,-75.000000,-1175.000000,-351.968750,150.000000,-1100.000000,-351.968750
de_train,14,BombsiteB,-225.000000,-1625.000000,-351.968750,0.000000,-1375.000000,-351.968750
de_train,64,BackofB,-1050.000000,-950.000000,-151.968750,-925.000000,-825.000000,-151.968750
de_train,1359,,525.000000,-950.000000,-351.968750,550.000000,-925.000000,-319.968750
de_train,1754,Tunnel,-1000.000000,125.000000,16.031250,-950.000000,200.000000,16.031250
de_train,4153,BombsiteA,825.000000,-25.000000,-215.968750,850.000000,0.000000,-215.968750
de_train,53,BombsiteB,1250.000000,-1225.000000,-351.968750,1400.000000,-1075.000000,-351.968750
de_train,102,LockerRoom,-700.000000,400.000000,16.031250,-600.000000,500.000000,16.031250
de_train,2909,Connector,500.000000,-525.000000,-223.979172,575.000000,-400.000000,-215.968750
de_train,3512,,-950.000000,-1300.000000,-151.968750,-900.000000,-1275.000000,-151.968750
de_train,3100,,450.000000,-1625.000000,-351.968750,500.000000,-1600.000000,-351.968750
de_train,3525,BombsiteB,0.000000,-1450.000000,-351.968750,125.000000,-1375.000000,-351.968750
de_train,3975,TSpawn,-2050.000000,1175.000000,-191.968750,-1925.000000,1475.000000,-191.968750
de_train,91,Tunnel1,1675.000000,450.000000,-215.968750,1775.000000,575.000000,-215.968750
de_train,1968,Tunnel2,1875.000000,-200.000000,-223.968750,1950.000000,-175.000000,-219.968750
de_train,2603,BombsiteA,-325.000000,575.000000,-215.968765,-225.000000,625.000000,-215.968765
de_train,3041,,1325.000000,-1075.000000,-340.081238,1350.000000,-1050.000000,-348.740082
de_train,3101,,500.000000,-1625.000000,-351.968750,550.000000,-1600.000000,-351.968750
de_train,3133,,1575.000000,-950.000000,-319.968750,1650.000000,-900.000000,-319.968750
de_train,3242,BombsiteA,-100.000000,-175.000000,-215.968750,-25.000000,-100.000000,-215.968750
de_train,62,Ivy,1250.000000,1225.000000,-223.968750,1375.000000,1425.000000,-223.968750
