222,96
222,613
222,3733
2427,2409
2427,2410
2427,3744
2427,1389
3609,3706
3609,3610
3609,3712
3609,4613
4369,4371
4369,4395
4369,4391
4369,4360
4369,4361
4416,4411
4416,4409
5501,5426
5501,5434
5501,5445
5501,5446
5501,5502
5501,5492
2722,4999
2722,4407
2724,271
2724,195
3831,3749
3831,216
3831,3986
3831,3971
4170,4214
4170,4154
4170,4169
4353,4340
4353,4354
4353,4338
4411,2519
4411,2953
4411,4416
4411,2279
4411,4409
4632,4631
4632,4713
4632,4539
4763,160
4763,4761
5547,5549
5547,5515
5547,5521
1945,4092
1945,4755
1945,1928
1945,5082
1945,5083
1945,4093
2966,2965
2966,147
2966,885
2966,2483
2966,5517
3818,3834
3818,3830
3818,3937
3818,4401
3818,119
4372,4360
4372,4362
4741,2605
4741,4726
4741,4740
5534,5491
5534,5262
4370,5007
4370,4377
4370,4364
4643,4640
4643,4649
4643,147
4643,4647
4709,4710
4709,4620
5085,5088
5085,5087
3738,3737
3738,252
3738,3731
3738,3736
5007,5006
5007,4360
5007,4367
5007,4370
5007,4364
5007,4377
5007,4403
5007,4404
5197,5151
5197,5153
5197,5152
5197,5174
5197,5199
5197,5207
5197,5208
3296,2458
3296,3297
3296,3707
4354,4340
4354,4348
4354,4353
4538,4719
4538,4537
4622,4545
4622,4620
4622,4540
4622,4635
4622,4636
4622,4637
4622,4638
608,609
608,510
608,2969
608,606
2531,4432
2531,4724
2531,2953
2531,2519
5090,3777
5090,5092
5090,79
5090,5104
5090,4863
223,98
223,97
223,283
374,124
374,98
4238,4882
4238,4234
4238,4877
4789,4871
4789,4814
4970,4686
4970,4971
4970,4968
5217,5357
5217,5480
5217,5408
5217,5247
5217,5283
5217,5211
606,605
606,608
606,2969
606,586
2902,4091
2902,5082
2902,2907
2902,2904
4003,4002
4003,4008
4003,3979
4003,4011
4008,4009
4008,3980
4008,4003
4118,4123
4118,2095
4118,2103
4118,4885
4118,4106
4625,3714
4625,4627
4928,4886
4928,4927
4928,2868
5051,3027
5051,3210
5051,5052
5051,5044
5150,5154
5150,5151
5170,3767
5170,41
5170,5169
5170,5111
124,289
124,374
124,98
339,138
339,3728
4333,2837
4333,4358
4684,4685
4684,4688
